Ciudad,SO2,Neg.Temp,Empresas,Poblacion,Viento,Precip,Dias
Phoenix,10.00,70.30,213.00,582.00,6.00,7.05,36.00
Little Rock,13.00,61.00,91.00,132.00,8.20,48.52,100.00
San Francisco,12.00,56.70,453.00,716.00,8.70,20.66,67.00
Denver,17.00,51.90,454.00,515.00,9.00,12.95,86.00
Hartford,56.00,49.10,412.00,158.00,9.00,43.37,127.00
Wilmington,36.00,54.00,80.00,80.00,9.00,40.25,114.00
Washington,29.00,57.30,434.00,757.00,9.30,38.89,111.00
Jacksonville,14.00,68.40,136.00,529.00,8.80,54.47,116.00
Miami,10.00,75.50,207.00,335.00,9.00,59.80,128.00
Atlanta,24.00,61.50,368.00,497.00,9.10,48.34,115.00
Chicago,110.00,50.60,3344.00,3369.00,10.40,34.44,122.00
Indianapolis,28.00,52.30,361.00,746.00,9.70,38.74,121.00
Des Moines,17.00,49.00,104.00,201.00,11.20,30.85,103.00
Wichita,8.00,56.60,125.00,277.00,12.70,30.58,82.00
Louisville,30.00,55.60,291.00,593.00,8.30,43.11,123.00
New Orleans,9.00,68.30,204.00,361.00,8.40,56.77,113.00
Baltimore,47.00,55.00,625.00,905.00,9.60,41.31,111.00
Detroit,35.00,49.90,1064.00,1513.00,10.10,30.96,129.00
Minneapolis-St. Paul,29.00,43.50,699.00,744.00,10.60,25.94,137.00
Kansas City,14.00,54.50,381.00,507.00,10.00,37.00,99.00
St. Louis,56.00,55.90,775.00,622.00,9.50,35.89,105.00
Omaha,14.00,51.50,181.00,347.00,10.90,30.18,98.00
Alburquerque,11.00,56.80,46.00,244.00,8.90,7.77,58.00
Albany,46.00,47.60,44.00,116.00,8.80,33.36,135.00
Buffalo,11.00,47.10,391.00,463.00,12.40,36.11,166.00
Cincinnati,23.00,54.00,462.00,453.00,7.10,39.04,132.00
Cleveland,65.00,49.70,1007.00,751.00,10.90,34.99,155.00
Columbus,26.00,51.50,266.00,540.00,8.60,37.01,134.00
Philadelphia,69.00,54.60,1692.00,1950.00,9.60,39.93,115.00
Pittsburgh,61.00,50.40,347.00,520.00,9.40,36.22,147.00
Providence,94.00,50.00,343.00,179.00,10.60,42.75,125.00
Memphis,10.00,61.60,337.00,624.00,9.20,49.10,105.00
Nashville,18.00,59.40,275.00,448.00,7.90,46.00,119.00
Dallas,9.00,66.20,641.00,844.00,10.90,35.94,78.00
Houston,10.00,68.90,721.00,1233.00,10.80,48.19,103.00
Salt Lake City,28.00,51.00,137.00,176.00,8.70,15.17,89.00
Norfolk,31.00,59.30,96.00,308.00,10.60,44.68,116.00
Richmond,26.00,57.80,197.00,299.00,7.60,42.59,115.00
Seattle,29.00,51.10,379.00,531.00,9.40,38.79,164.00
Charleston,31.00,55.20,35.00,71.00,6.50,40.75,148.00
Milwaukee,16.00,45.70,569.00,717.00,11.80,29.07,123.00
