Año,Mes,GLP,Gasolina aviación,Gasolina superior,Gasolina regular,Kerosina,Combustible Turbo Jet,Diesel,Diesel Bajo Azufre,Diesel Ultra Bajo Azufre,Bunker,Asfalto,PetCoke,Aceites Lubricantes,Grasas Lubricantes,Solventes,Naftas,Ceras,Butano,Petróleo Reconstit.,MTBE,Orimulción,Mezclas Oleosas,Total
2001,1,"194,065.74",820,"373,963.96","177,776.50","33,834.03",- ,"566,101.99",- ,- ,"214,581.84","27,748.99",- ,- ,- ,- ,- ,- ,- ,"715,344.00","8,402.00",- ,- ,"2,312,639.05"
2001,2,"170,703.38","3,054.00","243,091.07","123,115.99","67,439.95",- ,"489,525.80",- ,- ,"294,609.00","7,503.57",- ,- ,- ,- ,- ,- ,- ,"370,166.00",0,- ,- ,"1,769,208.76"
2001,3,"161,837.37",677,"312,084.38","161,726.42","31,787.29",- ,"575,559.68",- ,- ,"315,263.80","26,304.32",- ,- ,- ,- ,- ,- ,- ,"360,530.00",0,- ,- ,"1,945,770.26"
2001,4,"163,048.64","3,399.00","285,054.89","127,338.74","25,801.18",- ,"437,745.42",- ,- ,"205,653.00","7,885.89",- ,- ,- ,- ,- ,- ,- ,"359,527.00","8,184.00",- ,- ,"1,623,637.76"
2001,5,"171,518.86",585,"300,913.67","168,730.19","45,529.33",- ,"552,609.13",- ,- ,"278,371.30","8,443.16",- ,- ,- ,- ,- ,- ,- ,"723,346.00","12,680.00",- ,- ,"2,262,726.64"
2001,6,"190,004.42",492,"333,217.19","152,899.09","64,444.95",- ,"497,855.26",- ,- ,"218,765.60","6,229.04",- ,- ,- ,- ,- ,- ,- ,"360,369.00",0,- ,- ,"1,824,276.55"
2001,7,"206,022.83",655,"195,071.86","136,299.13","23,654.10",- ,"302,350.02",- ,- ,"156,109.00","3,103.99",- ,- ,- ,- ,- ,- ,- ,"360,570.00","10,642.00",- ,- ,"1,394,477.93"
2001,8,"100,561.47",607,"268,153.26","139,365.07","49,890.61",- ,"464,159.13",- ,- ,"189,692.60","27,821.06",- ,- ,- ,- ,- ,- ,- ,"719,303.00","13,357.00",- ,- ,"1,972,910.20"
2001,9,"186,839.02","3,868.00","308,439.07","233,643.75","41,519.91",- ,"321,952.94",- ,- ,"385,142.30","2,324.85",- ,- ,- ,- ,- ,- ,- ,"360,635.00",0,- ,- ,"1,844,364.84"
2001,10,"163,864.20",650,"305,102.28","141,550.22","32,657.33",- ,"438,989.55",- ,- ,"214,138.00","1,484.40",- ,- ,- ,- ,- ,- ,- ,"717,717.00","19,431.00",- ,- ,"2,035,583.98"
2001,11,"194,722.50","2,988.00","256,638.19","165,841.46","23,876.81",- ,"440,245.35",- ,- ,"142,282.26",895.44,- ,- ,- ,- ,- ,- ,- ,"356,364.00",0,- ,- ,"1,583,854.01"
2001,12,"194,329.02",350,"277,145.05","149,217.67","22,948.95",- ,"479,983.27",- ,- ,"307,427.20",321.3,- ,- ,- ,- ,- ,- ,- ,"366,828.00","14,822.00",- ,- ,"1,813,372.46"
2002,1,"168,422.62",0,"271,479.00","178,585.93","25,109.50",- ,"500,041.32",- ,- ,"332,302.30","1,978.12",- ,- ,- ,- ,- ,- ,- ,"724,812.00","11,481.00",- ,- ,"2,214,211.79"
2002,2,"200,141.36","3,499.00","365,657.75","144,447.25","41,050.42",- ,"686,923.83",- ,- ,"285,980.00",114,- ,- ,- ,- ,- ,- ,- ,"368,318.00",- ,- ,- ,"2,096,131.61"
