"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","created2"
"1","Trailer averiado en conexión vial de Bulevar San Antonio zona 6 para 7 calle colonia Atlántida zona 18. 

German Ro… https://t.co/cSgzws1RcF",FALSE,0,NA,2020-09-03 21:43:20,TRUE,NA,"1301636922176155653",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","amilcarmontejo",0,FALSE,FALSE,NA,NA,2020-09-03 15:43:20
"2","SEA. Expertos en vehículos. Todo a buen precio. Efectivo o Visacuotas-Credicuotas. WhatsApp 3056 8813. Centro Empre… https://t.co/CPlOtwMYpG",FALSE,0,NA,2020-09-03 21:43:08,TRUE,NA,"1301636873262108673",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bien062011",0,FALSE,FALSE,NA,NA,2020-09-03 15:43:08
"3","SEA. Expertos en vehículos. Todo a buen precio. Efectivo o Visacuotas-Credicuotas. WhatsApp 3056 8813. Centro Empre… https://t.co/Qd7Bte9j2n",FALSE,0,NA,2020-09-03 21:42:50,TRUE,NA,"1301636796988764161",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bien062011",0,FALSE,FALSE,NA,NA,2020-09-03 15:42:50
"4","#TráficoGT Líneas 1 y 2 del Transmetro se reactivarán este 4 de septiembre

Esta reactivación beneficiará a los usu… https://t.co/2G5kY24Xh7",FALSE,10,NA,2020-09-03 21:35:14,TRUE,NA,"1301634884449042432",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","soy_502",0,FALSE,FALSE,NA,NA,2020-09-03 15:35:14
"5","El más pilas.  
RT @InternetMuseo: https://t.co/EqAyD8JzKq",FALSE,7,NA,2020-09-03 21:30:33,FALSE,NA,"1301633705790918657",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","traficogt",3,FALSE,FALSE,NA,NA,2020-09-03 15:30:33
"6","RT @alba_keneth: #AlertaAlbaKeneth ⚠ | BERLIN ESMERALDA CRUZ ALONSO, de 17 años de edad.  Desapareció el 02 de Septiembre de 2020, en Nueva…",FALSE,0,NA,2020-09-03 21:21:07,FALSE,NA,"1301631331860963329",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","traficogt",16,TRUE,FALSE,NA,NA,2020-09-03 15:21:07
"7","RT @PoligrafoG: Las improvisadas ciclovías, que irrespetan motoristas y automóviles

https://t.co/37tnz0vfzZ

Las ""ciclovías"" de Mixco y Gu…",FALSE,0,NA,2020-09-03 20:43:01,FALSE,NA,"1301621746341228546",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WMynor",4,TRUE,FALSE,NA,NA,2020-09-03 14:43:01
"8","#TraficoGT 
Tome sus precauciones agentes de la #PNC retiraron un árbol caído que obstaculiza el paso en el kilómet… https://t.co/RAa6zDbWSR",FALSE,0,NA,2020-09-03 19:51:23,TRUE,NA,"1301608749463941127",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Noticiaspanoram",0,FALSE,FALSE,NA,NA,2020-09-03 13:51:23
"9","RT @PoligrafoG: Las improvisadas ciclovías, que irrespetan motoristas y automóviles

https://t.co/37tnz0vfzZ

Las ""ciclovías"" de Mixco y Gu…",FALSE,0,NA,2020-09-03 19:22:26,FALSE,NA,"1301601463957938177",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","97Jmat",4,TRUE,FALSE,NA,NA,2020-09-03 13:22:26
"10","En fin que hipocresía 
#Traficogt 
@amilcarmontejo 
#guatemala https://t.co/DjZPnOfjkM",FALSE,0,NA,2020-09-03 19:14:31,FALSE,NA,"1301599473936871424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sergiio_Che",0,FALSE,FALSE,NA,NA,2020-09-03 13:14:31
