Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
MEXICO|TECUN UMAN|24/07/2019| 8703236900|2009|NISSAN|VERSA|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|25851.25|3102.15|
ESTADOS UNIDOS|TECUN UMAN|24/07/2019| 8704315100|1995|TOYOTA|TACOMA XTRA CAB LX 2WD|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|4|2|1|25851.25|3102.15|
COREA DEL SUR|PUERTO QUETZAL|24/07/2019| 8703339000|2002|HYUNDAI|TERRACAN JX290|2900|LIVIANO|CAMIONETA|OCASIONAL|DIESEL|7|5|0|12849.14|1541.9|
ESTADOS UNIDOS|TECUN UMAN|24/07/2019| 8701200000|2010|FREIGHTLINER|CASCADIA PX125064S T|14800|PESADO|CABEZAL|OCASIONAL|DIESEL|2|2|15|55985.56|6718.27|
JAPON|TECUN UMAN|24/07/2019| 8703236900|2001|TOYOTA|RAV4 L 4WD|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|14378.8|1725.46|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
CHINA|PUERTO QUETZAL|09/07/2019| 8711209000|2020|ITALIKA|GTK125|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|451066.24|54127.95|
