núm_corre,año_ocu,mes_ocu,día_ocu,día_sem_ocu,hora_ocu,g_hora,g_hora_5,depto_ocu,mupio_ocu,área_geo_ocu,zona_ocu,sexo_per,edad_per,mayor_menor,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,estado_con,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
1,2015,1,1,4,16,3,2,1,101,1,1,1,19,1,2,2,4,9,4,21,5,2011,5,1
2,2015,1,1,4,22,4,3,1,101,1,16,1,32,1,5,5,7,1,4,21,5,9999,6,1
3,2015,1,1,4,2,1,1,1,101,1,7,9,999,9,16,12,18,9,3,44,6,9999,6,1
4,2015,1,1,4,9,2,1,1,101,1,12,1,20,1,3,3,5,9,4,40,5,9999,6,2
5,2015,1,1,4,1,1,1,1,115,1,8,1,23,1,3,3,5,9,1,34,4,9999,6,2
6,2015,1,1,4,8,2,1,1,114,2,99,1,19,1,2,2,4,1,4,41,4,9999,6,3
7,2015,1,1,4,17,3,2,1,110,2,99,1,23,1,3,3,5,1,4,21,1,9999,6,1
8,2015,1,1,4,10,2,1,6,602,2,99,1,24,1,3,3,5,2,4,99,5,9999,6,3
9,2015,1,1,4,20,4,3,6,602,2,99,1,29,1,4,4,6,1,3,44,1,2015,5,1
10,2015,1,1,4,7,2,1,11,1101,2,99,1,21,1,3,3,5,2,3,44,2,2001,4,3
11,2015,1,1,4,15,3,2,15,1501,2,99,9,999,9,16,12,18,9,1,99,5,9999,6,1
12,2015,1,2,5,1,1,1,1,101,1,16,1,33,1,5,5,7,9,1,44,3,9999,6,1
13,2015,1,2,5,10,2,1,1,101,1,10,1,22,1,3,3,5,9,4,49,3,9999,6,1
14,2015,1,2,5,23,4,3,1,101,1,5,1,30,1,5,5,7,9,1,30,3,2003,4,1
15,2015,1,2,5,0,1,1,1,115,1,1,1,82,1,15,11,17,9,1,99,3,9999,6,2
16,2015,1,2,5,0,1,1,21,2106,2,99,1,26,1,4,4,6,9,1,21,1,1998,3,3
17,2015,1,2,5,12,3,2,20,2001,2,99,9,999,9,16,12,18,9,4,99,5,2012,5,1
18,2015,1,2,5,15,3,2,5,508,2,99,1,25,1,4,4,6,9,6,22,6,1992,3,3
19,2015,1,2,5,7,2,1,12,1201,2,99,1,16,2,2,2,4,9,4,42,5,9999,6,1
20,2015,1,2,5,9,2,1,16,1601,2,99,9,999,9,16,12,18,9,3,99,99,9999,6,2
21,2015,1,2,5,17,3,2,18,1801,2,99,2,45,1,8,8,10,9,4,99,1,9999,6,3
22,2015,1,2,5,4,1,1,7,701,1,1,9,999,9,16,12,18,9,3,2,1,9999,6,1
23,2015,1,3,6,20,4,3,1,101,1,2,9,999,9,16,12,18,9,11,44,2,1993,3,1
24,2015,1,3,6,6,2,1,1,101,1,18,9,999,9,16,12,18,9,6,99,99,9999,6,1
25,2015,1,3,6,1,1,1,1,101,1,18,9,999,9,16,12,18,9,99,99,99,9999,6,1
26,2015,1,3,6,23,4,3,19,1904,2,99,9,999,9,16,12,18,1,3,44,3,1994,3,1
27,2015,1,3,6,11,2,1,5,506,2,99,1,27,1,4,4,6,9,4,21,1,9999,6,3
28,2015,1,3,6,22,4,3,6,611,2,99,9,999,9,16,12,18,9,99,99,99,9999,6,1
29,2015,1,3,6,10,2,1,18,1805,2,99,1,45,1,8,8,10,1,4,2,99,2009,4,1
30,2015,1,3,6,19,4,3,18,1801,2,99,1,20,1,3,3,5,9,4,14,5,9999,6,1
31,2015,1,3,6,10,2,1,18,1801,2,99,9,999,9,16,12,18,9,4,99,99,9999,6,1
32,2015,1,3,6,22,4,3,3,313,2,99,1,999,9,16,12,18,9,1,44,11,2004,4,1
33,2015,1,4,7,17,3,2,1,101,1,1,1,35,1,6,6,8,9,4,37,5,2011,5,1
34,2015,1,4,7,19,4,3,1,115,1,2,1,20,1,3,3,5,9,4,2,5,9999,6,1
35,2015,1,4,7,11,2,1,1,115,2,99,9,999,9,16,12,18,9,99,99,99,9999,6,1
36,2015,1,4,7,11,2,1,22,2201,2,99,2,23,1,3,3,5,9,4,41,99,2014,5,1
37,2015,1,4,7,10,2,1,21,2104,2,99,1,21,1,3,3,5,9,4,2,7,2014,5,1
38,2015,1,4,7,11,2,1,21,2102,2,99,9,999,9,16,12,18,9,12,99,99,9999,6,3
39,2015,1,4,7,10,2,1,5,502,2,99,1,22,1,3,3,5,9,4,2,5,2014,5,3
40,2015,1,4,7,23,4,3,5,509,2,99,1,38,1,6,6,8,9,4,99,99,9999,6,2
41,2015,1,4,7,19,4,3,5,502,2,99,1,20,1,3,3,5,9,4,99,5,9999,6,1
42,2015,1,4,7,20,4,3,9,920,1,3,9,999,9,16,12,18,9,1,99,99,9999,6,1
43,2015,1,4,7,1,1,1,9,901,1,5,9,999,9,16,12,18,9,1,21,6,9999,6,1
44,2015,1,4,7,22,4,3,12,1202,1,4,9,999,9,16,12,18,9,1,32,2,2003,4,1
45,2015,1,4,7,3,1,1,12,1201,1,2,1,32,1,5,5,7,2,1,32,4,9999,6,2
46,2015,1,4,7,9,2,1,12,1218,2,99,1,26,1,4,4,6,9,4,99,99,9999,6,2
47,2015,1,4,7,19,4,3,17,1703,2,99,1,30,1,5,5,7,9,4,99,99,9999,6,4
48,2015,1,4,7,21,4,3,17,1712,2,99,1,34,1,5,5,7,9,4,99,99,9999,6,4
49,2015,1,4,7,17,3,2,4,407,2,99,1,24,1,3,3,5,2,4,41,5,9999,6,1
50,2015,1,5,1,9,2,1,1,101,1,5,9,999,9,16,12,18,9,1,99,99,9999,6,1
51,2015,1,5,1,6,2,1,5,502,2,99,9,999,9,16,12,18,9,3,44,6,2008,4,1
52,2015,1,5,1,18,4,3,16,1601,2,99,9,999,9,16,12,18,9,3,99,7,9999,6,1
53,2015,1,5,1,7,2,1,15,1502,2,99,1,44,1,7,7,9,1,5,19,2,9999,6,1
54,2015,1,5,1,9,2,1,3,302,2,99,1,32,1,5,5,7,1,14,2,4,2004,4,1
55,2015,1,6,2,11,2,1,1,101,1,12,1,42,1,7,7,9,9,1,99,1,9999,6,1
56,2015,1,6,2,7,2,1,20,2011,2,99,1,32,1,5,5,7,9,4,99,99,9999,6,2
57,2015,1,6,2,4,1,1,10,1014,2,99,1,27,1,4,4,6,1,4,2,1,9999,6,3
58,2015,1,6,2,4,1,1,13,1304,2,99,9,999,9,16,12,18,9,3,99,99,9999,6,3
59,2015,1,6,2,16,3,2,2,201,2,99,1,22,1,3,3,5,9,4,42,5,9999,6,3
60,2015,1,6,2,15,3,2,18,1804,2,99,9,999,9,16,12,18,9,6,99,2,9999,6,1
61,2015,1,6,2,15,3,2,17,1712,2,99,1,18,1,2,2,4,9,4,99,99,9999,6,2
62,2015,1,7,3,1,1,1,1,101,1,1,1,77,1,14,11,16,9,12,22,99,9999,6,1
63,2015,1,7,3,21,4,3,1,101,1,7,9,999,9,16,12,18,9,1,99,99,9999,6,1
64,2015,1,7,3,2,1,1,5,509,2,99,1,22,1,3,3,5,9,4,99,99,9999,6,4
65,2015,1,7,3,19,4,3,10,1021,2,99,1,22,1,3,3,5,9,4,21,5,2012,5,1
66,2015,1,7,3,7,2,1,11,1107,2,99,1,49,1,8,8,10,9,4,99,99,9999,6,2
67,2015,1,7,3,18,4,3,2,204,2,99,1,30,1,5,5,7,2,3,44,11,9999,6,1
68,2015,1,8,4,15,3,2,1,101,1,11,2,23,1,3,3,5,9,1,46,99,2011,5,1
69,2015,1,8,4,22,4,3,1,110,2,99,1,25,1,4,4,6,9,1,47,5,9999,6,1
70,2015,1,8,4,18,4,3,22,2206,2,99,1,49,1,8,8,10,9,3,99,8,1987,2,3
71,2015,1,8,4,21,4,3,11,1103,2,99,1,40,1,7,7,9,9,3,44,3,2009,4,2
72,2015,1,8,4,20,4,3,9,901,1,3,1,39,1,6,6,8,9,1,30,6,2002,4,1
73,2015,1,8,4,11,2,1,12,1218,2,99,1,22,1,3,3,5,9,14,99,99,9999,6,1
74,2015,1,8,4,0,1,1,17,1710,2,99,1,39,1,6,6,8,9,2,99,6,9999,6,4
75,2015,1,9,5,20,4,3,1,101,1,1,1,20,1,3,3,5,9,4,21,9,9999,6,1
76,2015,1,9,5,23,4,3,1,101,1,6,1,20,1,3,3,5,9,4,24,5,9999,6,1
77,2015,1,9,5,22,4,3,22,2201,2,99,9,999,9,16,12,18,9,3,99,99,9999,6,1
78,2015,1,9,5,14,3,2,11,1101,2,99,9,999,9,16,12,18,9,2,99,99,9999,6,2
79,2015,1,9,5,21,4,3,14,1420,2,99,1,32,1,5,5,7,9,9,37,4,9999,6,1
80,2015,1,10,6,12,3,2,1,103,2,99,1,30,1,5,5,7,9,4,10,4,9999,6,1
81,2015,1,10,6,10,2,1,1,101,1,10,1,26,1,4,4,6,9,2,44,11,9999,6,1
82,2015,1,10,6,5,1,1,1,102,2,99,9,999,9,16,12,18,9,4,99,99,9999,6,2
83,2015,1,10,6,12,3,2,1,115,2,99,1,50,1,9,9,11,9,4,99,1,9999,6,1
84,2015,1,10,6,22,4,3,1,114,2,99,1,50,1,9,9,11,9,1,21,2,9999,6,2
